FID,ID1,Name,NAICSCode,NACSDescri,NAICSTitle,EmplRange,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,Street_Add,Bldg_No,Unit_No,PostalCode,Modified_D,PIN,Character,Ward
1668,12592,Cawthra Park United Church,813110,Other Services,Religious Organizations,1 to 4,905-278-7376,905-278-7376, ,office@cawthraparkuc.org,www.cawthraparkuc.org,1465,Leda Ave,1465 Leda Ave, , ,L5G 4B8,2017/11/08 00:00:00+00,137600,Mineola NHD,1
1669,50361,Lynwood Nursery School,624410,Health Care,Child Day-Care Services,1 to 4,9052744420, , ,learn@lyndwood.ca, ,1465,Leda Ave,1465 Leda Ave, , ,L5G 4B8,2018/12/30 00:00:00+00,137600,Mineola NHD,1
1670,14871,Port Credit Secondary School,611110,Educational,Elementary and Secondary Schools,50 to 99,905-278-3382,905-278-8936, , ,www.pcssonline.com,70,Mineola Rd E,70 Mineola Rd E, , ,L5G 2E5,2018/12/30 00:00:00+00,237700,Mineola NHD,1
1671,21140,Mineola Public School,611110,Educational,Elementary and Secondary Schools,20 to 49,905-278-3144,905-278-7639, , ,www.peel.edu.on.ca/mineola,145,Windy Oaks,145 Windy Oaks, , ,L5G 1Z4,2018/12/30 00:00:00+00,237700,Mineola NHD,1
1672,57781,BridgeWay Family Centre,624410,Health Care,Child Day-Care Services,N/A,905-278-3382, , , ,www.bridgewaycentre.ca,70,Mineola Rd E,70 Mineola Rd E, , ,L5G 2E5,2017/11/08 00:00:00+00,237700,Mineola NHD,1
1673,14870,Church of Saint Mark-Lutheran,813110,Other Services,Religious Organizations,1 to 4,905-278-2122,905-278-2122, ,luteran.church@on.aibn.com,www.saintmarks.ca,130,Mineola Rd E,130 Mineola Rd E, , ,L5G 2E5,2017/11/08 00:00:00+00,237900,Mineola NHD,1
1674,51221,Church of St. Mark Nursery,624410,Health Care,Child Day-Care Services,1 to 4,9052782122, , ,lutheran.church@on.aibn.com,www.stmarks.ca,130,Mineola Rd E,130 Mineola Rd E, , ,L5G 2E5,2018/12/30 00:00:00+00,237900,Mineola NHD,1
1675,5085,New Apostolic Church of Canada,813110,Other Services,Religious Organizations,N/A,519-884-2862, , , ,www.newapostolicchurch.org,1649,Crediton Pky,1649 Crediton Pky, , ,L5G 3X2,2017/11/08 00:00:00+00,243700,Mineola NHD,1
1676,10422,Petro Canada,447190,Retail,Other Gasoline Stations,5 to 9,905-278-3072,905-278-9012, , ,www.petro-canada.ca,1175,Hurontario St,1175 Hurontario St, , ,L5G 3H1,2017/11/08 00:00:00+00,285100,Mineola NHD,1
1677,10425,Mississauga Scuba Diving Services,611620,Educational,Athletic Instruction,1 to 4,905-274-5182,905-274-5103,1-888-463-4837, ,www.diveaqua.com,1187,Hurontario St,1187 Hurontario St,Bldg 1, ,L5G 3H2,2017/11/08 00:00:00+00,285200,Mineola NHD,1
1678,10426,Bark and Brush,812910,Other Services,Pet Care (except Veterinary) Services,1 to 4,905-990-7890, , , ,www.barkandbrush.ca,1201,Hurontario St,1201 Hurontario St,Bldg 2, ,L5G 3H2,2017/11/08 00:00:00+00,285300,Mineola NHD,1
1679,10428,Evergreen Wellness Centre,621390,Health Care,Offices of All Other Health Practitioners,1 to 4,416-800-4520, , ,hankxiao@hotmail.com,www.evergreenwellnesscentre.com,1205,Hurontario St,1205 Hurontario St,Bldg 2, ,L5G 3H2,2017/11/08 00:00:00+00,285300,Mineola NHD,1
1680,10427,Alpha Quality Cleaners,812320,Other Services,Dry Cleaning and Laundry Services (except Coin-Operated),1 to 4,905-278-9700, , , , ,1203,Hurontario St,1203 Hurontario St,Bldg 2, ,L5G 3H2,2017/11/08 00:00:00+00,285300,Mineola NHD,1
1681,10429,Carl's Pharmacy,446110,Retail,Pharmacies and Drug Stores,5 to 9,905-278-7041,905-278-7036, ,ghabbour@hotmail.com,www.carlspharmacy.ca,1207,Hurontario St,1207 Hurontario St,Bldg 2, ,L5G 3H2,2017/11/08 00:00:00+00,285300,Mineola NHD,1
1682,10430,Cousin's Market,445110,Retail,Supermarkets and Other Grocery (except Convenience) Stores,20 to 49,9052787575,9052789291, , , ,1215,Hurontario St,1211 Hurontario St,Bldg 1, ,L5G 3H2,2018/12/30 00:00:00+00,285400,Mineola NHD,1
1683,10434,Tim Hortons,722512,Accommodation,Limited-service eating places,10 to 19,905-271-7299,905-271-9841, , ,www.timhortons.com,1211,Hurontario St,1211 Hurontario St,Bldg 2,A,L5G 3H2,2017/11/08 00:00:00+00,285400,Mineola NHD,1
1684,10432,Pizza Nova,722512,Accommodation,Limited-service eating places,N/A,905-439-0000, , , ,www.pizzanova.com,1211,Hurontario St,1211 Hurontario St,Bldg 2,D,L5G 3H2,,285400,Mineola NHD,1
1685,10450,Dr. Orysia Swyszcz - Chiropractic Clinic,621310,Health Care,Offices of Chiropractors,1 to 4,905-891-9197, , , , ,1385,Hurontario St,1385 Hurontario St, , ,L5G 3H5,2017/11/08 00:00:00+00,286200,Mineola NHD,1
1686,51218,Surgical Weight Loss Centre,621390,Health Care,Offices of All Other Health Practitioners,10 to 19,9052787077,9052751582, ,rose@theplasticsurgeryclinic.com,www.theplasticsurgeryclinic.com,1413,Hurontario St,1413 Hurontario St, , ,L5G 3H5,2018/12/30 00:00:00+00,286500,Mineola NHD,1
1687,50666,Eden Oak,236110,Construction,Residential Building Construction,5 to 9,905-274-5500,905-274-5050,1-800-339-4987, ,www.edenoak.com,1443,Hurontario St,1443 Hurontario St, , ,L5G 3H5,2017/11/08 00:00:00+00,286800,Mineola NHD,1
1688,86443,Bernardi Human Resource Law,541110,Professional,Offices of Lawyers,10 to 19,905-486-1991,905-486-1992, ,info@hrlawyers.ca,www.hrlawyers.ca,1443,Hurontario St,1443 Hurontario St, ,201,L5G 3H5,2018/09/30 00:00:00+00,286800,Mineola NHD,1
1689,83792,Pinewood Medical Centre,621110,Health Care,Offices of Physicians,1 to 4,905-274-1475, , , ,www.pw-medical.com,1471,Hurontario St,1471 Huronatrio St, , ,L5G 3H5,2018/09/30 00:00:00+00,287000,Mineola NHD,1
1690,10464,Hwy 10 QE Chiropractic Centre - Adam J. Choi /Tuina & Shiatsu,621310,Health Care,Offices of Chiropractors,1 to 4,905-891-2888, , ,dr_achoi@sympatico.ca,www.painreliefnaturally.ca,1495,Hurontario St,1495 Hurontario St, , ,L5G 3H7,2017/11/08 00:00:00+00,287200,Mineola NHD,1
1691,48267,Visual Thinking International Ltd.,541514,Professional,Computer systems design and related services (except video game design and development),5 to 9,9052713620,9052713757,8008783373,info@visual8.com,www.visual8.com,1505,Hurontario St,1505 Hurontario St, , ,L5G 3H7,2018/12/30 00:00:00+00,287300,Mineola NHD,1
1692,50355,Trend Marketing,414120,Wholesale,Footwear Wholesaler-Distributors,5 to 9,9052740027,9052740028, ,info@trendm.com,www.trendm.com,1523,Hurontario St,1523 Hurontario St, , ,L5G 3H7,2018/12/30 00:00:00+00,287500,Mineola NHD,1
1693,10468,Landmark Wealth Management Of Raymond James Ltd.,523110,Finance,Investment Banking and Securities Dealing,5 to 9,905-891-5222,905-891-5553, ,gerry.sonkee@raymondjames.ca,www.raymondjames.ca/gerrysonkee,1569,Hurontario St,1569 Hurontario St, ,200,L5G 3H7,2017/11/08 00:00:00+00,288000,Mineola NHD,1
1694,52815,Silver Creek Dental,621210,Health Care,Offices of Dentists,5 to 9,905-271-0030, , ,silvercreekdental@rogers.com, ,1569,Hurontario St,1569 Hurontario St, , ,L5G 3H7,2018/09/30 00:00:00+00,288000,Mineola NHD,1
1695,8192,Uptown CafD Inc.,722512,Accommodation,Limited-service eating places,1 to 4, , , , , ,1599,Hurontario St,1599 Hurontario St, ,LL,L5G 4S1,2017/11/08 00:00:00+00,288200,Mineola NHD,1
1696,10481,Canadian Academy Of Dental Hygiene,621210,Health Care,Offices of Dentists,20 to 49,9052782794,9052781740, ,infocadh@bellnet.ca,www.cadh.ca,1599,Hurontario St,1599 Hurontario St, ,105,L5G 4S1,2018/12/30 00:00:00+00,288200,Mineola NHD,1
1697,10485,HVGP LLP Chartered Professional Accountants,541212,Professional,Offices of  Accountants,20 to 49,905-891-5339,905-891-1513,1-866-544-7678,info@lhgroup.com,www.lhranone.com,1599,Hurontario St,1599 Hurontario St, ,100,L5G 4S1,2017/11/08 00:00:00+00,288200,Mineola NHD,1
1698,50352,Edward Jones,523930,Finance,Investment Advice,1 to 4,905-271-6286,1-855-801-9427, ,jason.besler@edwardjones.com,www.edwardjones.ca,1599,Hurontario St,1599 Hurontario St, ,102,L5G 4S1,2017/11/08 00:00:00+00,288200,Mineola NHD,1
1699,51223,Prism Data Services Ltd.,541514,Professional,Computer systems design and related services (except video game design and development),5 to 9,905-278-5556,905-278-6603, ,info@prism.com,www.prism-data.com,1599,Hurontario St,1599 Hurontario St, ,200,L5G 4S1,2017/11/08 00:00:00+00,288200,Mineola NHD,1
1700,56832,HK>A (Knowles Canada),541612,Professional,Human Resources Consulting Services,10 to 19,905-891-2555,905-891-5400, ,canada@JRKnowles.com,www.knowles.com,1599,Hurontario St,1599 Hurontario St, ,202,L5G 4S1,2018/09/30 00:00:00+00,288200,Mineola NHD,1
1701,56833,Normerica,311119,Manufacturing,Other Animal Food Manufacturing,50 to 99,416-626-0556,416-626-9266,1-877-646-8621, ,www.normericainc.com,1599,Hurontario St,1599 Hurontario St, ,300,L5G 4S1,2017/11/08 00:00:00+00,288200,Mineola NHD,1
1702,57639,The Kidney Foundation of Canada - Ontario Branch,813210,Other Services,Grant-Making and Giving Services,20 to 49,905-278-3003,905-271-4990,1-800-387-4474,kidney@kidney.on.ca,www.kidney.ca,1599,Hurontario St,1599 Hurontario St, ,201,L5G 4S1,2018/09/30 00:00:00+00,288200,Mineola NHD,1
1703,87123,Avega Inc.,541514,Professional,Computer systems design and related services (except video game design and,10 to 19,905-828-7886, , ,inquires@avega.ca,www.avega.ca,1599,Hurontario St,1599 Hurontario St, ,301,L5G 4S1,2018/09/30 00:00:00+00,288200,Mineola NHD,1
1704,90806,It Factor,541611,Professional,Administrative Management and General Management Consulting Services,1 to 4, , , ,info@itfactor.biz,www.itfactor.biz,1599,Hurontario St,1599 Hurontario St, ,106,L5G 4S1,2018/12/04 00:00:00+00,288200,Mineola NHD,1
1705,90807,Bellwether,523110,Finance,Investment Banking and Securities Dealing,1 to 4,905-990-1479, , , ,www.bellvest.ca,1599,Hurontario St,1599 Hurontario St, ,107,L5G 4S1,2018/09/30 00:00:00+00,288200,Mineola NHD,1
1706,18633,Ontario Provincial Police - Port Credit Detachment,912130,Public Administration,Provincial Police Services,50 to 99,905-278-6131,905-278-5486, , ,www.opp.ca,49,South Service Rd,49 South Service Rd, , ,L5G 2R8,2017/11/08 00:00:00+00,288300,Mineola NHD,1
1707,18637,Queen Elizabeth Senior Public School,611110,Educational,Elementary and Secondary Schools,20 to 49,905-278-7287,905-278-8484, , , ,60,South Service Rd,60 South Service Rd, , ,L5G 2R9,2018/12/30 00:00:00+00,288400,Mineola NHD,1
1708,18638,Unitarian Congregation in Mississauga,813110,Other Services,Religious Organizations,1 to 4,905-278-5622,905-278-6364, ,info@uucm.ca,www.uucm.ca,84,South Service Rd,84 South Service Rd, , ,L5G 2R9,2017/11/08 00:00:00+00,288700,Mineola NHD,1
1709,53951,Tiny Treasure Montessori,611110,Educational,Elementary and Secondary Schools,10 to 19,905-271-2600,905-276-2779, , ,www.tinytresuremontesori.com,84,South Service Rd,84 South Service Rd, , ,L5G 2R9,2018/09/30 00:00:00+00,288700,Mineola NHD,1
1710,3649,Kenmuir Baptist Church,813110,Other Services,Religious Organizations,1 to 4,905-278-0212,905-278-2331, ,kenmuirbaptist@gmail.com,www.kenmuir.com,1640,Carmen Dr,1640 Carmen Dr, , ,L5G 3Z1,2017/11/08 00:00:00+00,289400,Mineola NHD,1
1711,85569,AMG Convenience,445120,Retail,Convenience Stores,1 to 4,289-809-2544, , , , ,466,South Service Rd,466 South Service Rd, , ,L5G 2S5,2017/11/08 00:00:00+00,290300,Mineola NHD,1
1712,58550,Mineola Massage Therapy & Acupuncture,621390,Health Care,Offices of All Other Health Practitioners,1 to 4,905-278-8226, , ,angela@mineolamassage.com,www.mineolamassage.ca,474,South Service Rd,474 South Service Rd, ,B,L5G 2S5,2018/09/30 00:00:00+00,290500,Mineola NHD,1
1713,18631,A B S Point of Sale Inc.,541514,Professional,Computer systems design and related services (except video game design and development),1 to 4,905-278-7975, , , ,www.abspos.com,482,South Service Rd,482 South Service Rd, , ,L5G 2S5,2017/11/08 00:00:00+00,290700,Mineola NHD,1
1714,18634,Amici Sports Cafe,722512,Accommodation,Limited-service eating places,1 to 4,905-990-5115, , , , ,496,South Service Rd,496 South Service Rd, , ,L5G 2S5,2017/11/08 00:00:00+00,290900,Mineola NHD,1
1715,50359,Eva Dry Cleaners,812320,Other Services,Dry Cleaning and Laundry Services (except Coin-Operated),1 to 4,905-278-8206, , , , ,490,South Service Rd,490 South Service Rd, , ,L5G 2S5,2017/11/08 00:00:00+00,290900,Mineola NHD,1
1716,18635,The Red Owl Salon,812115,Other Services,Beauty Salons,1 to 4,416-900-7890, , , , ,500,South Service Rd,500 South Service Rd, , ,L5G 2S5,2017/11/08 00:00:00+00,291100,Mineola NHD,1
1717,18636,Sal's Auto Service Ltd.,811111,Other Services,General Automotive Repair,1 to 4,905-274-2200, , ,salsautoservice@hotmail.com, ,526,South Service Rd,526 South Service Rd, , ,L5G 2S6,2017/11/08 00:00:00+00,291200,Mineola NHD,1
1718,10458,Diamond Marketing and Communications Inc.,541810,Professional,Advertising Agencies,1 to 4,905-271-6664,905-271-1483, ,karen.diamond@on.aibn.com, ,1470,Hurontario St,1470 Hurontario St, ,100,L5G 3H4,2017/11/08 00:00:00+00,293600,Mineola NHD,1
1719,10463,Nelson Family Law,541110,Professional,Offices of Lawyers,1 to 4,905-990-2731, , , , ,1470,Hurontario St,1470 Hurontario St, ,201,L5G 3H4,2017/11/08 00:00:00+00,293600,Mineola NHD,1
1720,85567,IPC Investment Corporation,523930,Finance,Investment Advice,1 to 4,905-274-0004, , , , ,1470,Hurontario St,1470 Hurontario St, ,200,L5G 3H4,2018/09/30 00:00:00+00,293600,Mineola NHD,1
1721,57640,Niebler Law Offices,541110,Professional,Offices of Lawyers,1 to 4,905-271-3232,905-271-3677, ,dniebler@nieblerlaw.com,www.nieblerlaw.com,1462,Hurontario St,1462 Hurontario St, , ,L5G 3H4,2017/11/08 00:00:00+00,293700,Mineola NHD,1
1722,57638,Homeopathy Life Treatment Clinic,621390,Health Care,Offices of All Other Health Practitioners,1 to 4,416-616-9320, , ,janee@homeopathylife.com,www.homeopathylife.com,1462,Hurontario St,1462 Hurontario St, , ,L5G 3H4,2018/09/30 00:00:00+00,293700,Mineola NHD,1
1723,56345,Raymond James Ltd / Landmark Wealth Management,523930,Finance,Investment Advice,5 to 9,9058915222,9058915553,8668915222, ,www.raymondjames.ca/landmarkwealthmanagement,1450,Hurontario St,1450 Hurontario St, , ,L5G 3H4,2018/12/30 00:00:00+00,293800,Mineola NHD,1
1724,57641,David W. Small Designs Inc.,541410,Professional,Interior Design Services,20 to 49,905-271-9100, , ,admin@davidsmalldesigns.com,www.davidsmalldesigns.com,1440,Hurontario St,1440 Hurontario St, ,200,L5G 3H4,2018/09/30 00:00:00+00,293900,Mineola NHD,1
1725,51215,Noble Group of Finance Inc. / KMI Brokers Inc.,524299,Finance,All Other Insurance Related Activities,5 to 9,905-271-7202,905-271-7212, ,kratiuk@on.aibn.com, ,1430,Hurontario St,1430 Hurontario St, , ,L5G 3H4,2017/11/08 00:00:00+00,294000,Mineola NHD,1
1726,57046,Scalabrinian Sister Convent,813110,Other Services,Religious Organizations,N/A,905-271-1342, , ,diane_decarli@hotmail.com, ,1402,Hurontario St,1402 Hurontario St, , ,L4G 3N4,2017/11/08 00:00:00+00,294300,Mineola NHD,1
1727,83789,Du Vernet Stewart,541110,Professional,Offices of Lawyers,1 to 4,416-231-1668,416-234-0993, ,duvernet@duvernet.ca,www.duvernet.ca/,1392,Hurontario St,1392 Hurontario St, , ,L5G 3H4,2018/09/30 00:00:00+00,294400,Mineola NHD,1
1728,10443,"Marlowe, Donald C. Law Office",541110,Professional,Offices of Lawyers,1 to 4,905-271-2415,905-271-9420, , , ,1370,Hurontario St,1370 Hurontario St, ,3rd Fl,L5G 3H4,2017/11/08 00:00:00+00,294600,Mineola NHD,1
1729,90819,Educational Directions,611710,Educational,Educational Support Services,1 to 4,905-274-3972, , ,info@edudirections.ca,www.educationaldirections.ca,1368,Hurontario St,1368 Hurontario St, , ,L5G 3H4,2018/09/30 00:00:00+00,294700,Mineola NHD,1
1730,10438,Aggie Janiak Insurance and Finance Services,524210,Finance,Insurance Agencies and Brokerages,5 to 9,905-271-5959,877-259-6362,1-800-271-5959, ,www.aggiejaniak.com,1348,Hurontario St,1348 Hurontario St, , ,L5G 3H4,2017/11/08 00:00:00+00,294900,Mineola NHD,1
1731,10437,Blue Elephant Daycare Incorporated,624410,Health Care,Child Day-Care Services,5 to 9,905-891-1279, , ,info@blueelephantdaycare.com,www.blueelephantdaycare.com,1322,Hurontario St,1322 Hurontario St, , ,L5G 3H3,2017/11/08 00:00:00+00,295000,Mineola NHD,1
1732,10436,Ontario Sheet Metal Workers' & Roofers' Conference,813930,Other Services,Labour Organizations,1 to 4,905-278-2280,905-278-4109, ,info@osmwrc.com,www.osmwrc.com,1312,Hurontario St,1312 Hurontario St, , ,L5G 3H3,2017/11/08 00:00:00+00,295100,Mineola NHD,1
1733,83788,Waterside Dental,621210,Health Care,Offices of Dentists,1 to 4,905-271-7171,905-271-8440, ,info@watersidedental.ca,www.watersidedental.ca,1252,Hurontario St,1252 Hurontario St, , ,L5G 3H3,2017/11/08 00:00:00+00,295700,Mineola NHD,1
1734,9968,Kenollie Public School,611110,Educational,Elementary and Secondary Schools,10 to 19,905-278-8991,905-278-1595, , , ,1376,Glenwood Dr,1376 Glenwood Dr, , ,L5G 2X1,2018/12/30 00:00:00+00,353100,Mineola NHD,1
1735,15394,Scrub,812320,Other Services,Dry Cleaning and Laundry Services (except Coin-Operated),1 to 4,905-897-0900, , , , ,589,North Service Rd,589 North Service Rd, ,2,L5A 1B2,2017/11/08 00:00:00+00,381600,Cooksville NHD (East),7
1736,15391,Auto Best Corporation,811111,Other Services,General Automotive Repair,1 to 4,905-281-0202, , ,info@autobest.ca,www.autobest.ca,329,North Service Rd,329 North Service Rd, , ,L5A 1A4,2017/11/08 00:00:00+00,382600,Cooksville NHD (East),7
1737,22198,Masjid Rahmatul_Alameen-Pakistani Community Center & Mosque,813110,Other Services,Religious Organizations,N/A,905-275-1786, , , , ,205,North Service Rd,205 North Service Rd, , ,L5A 1A4,2017/11/08 00:00:00+00,383100,DT Hospital,7
1738,15389,Husky,447190,Retail,Other Gasoline Stations,1 to 4,905-615-8123, , , ,www.myhusky.ca,155,North Service Rd,155 North Service Rd, , ,L5A 1A2,2017/11/08 00:00:00+00,383500,DT Hospital,7
1739,7335,Rona,444110,Retail,Home Centres,50 to 99,905-276-6350,905-276-3284, , ,www.rona.ca,650,Dundas St E,650 Dundas St E, , ,L5A 3Y6,2017/05/12 00:00:00+00,395800,Dixie EA,7
1740,22480,Hawley Collision Centre Inc.,811121,Other Services,"Automotive Body, Paint and Interior Repair and Maintenance",5 to 9,905-896-3523,905-896-4562, ,info@hawleycollision.com,www.hawleycollision.com,2526,Cawthra Rd,2526 Cawthra Rd, , ,L5A 2W7,2017/05/17 00:00:00+00,395900,Dixie EA,7
1741,3843,Cawthra Auto Centre Inc.,811111,Other Services,General Automotive Repair,1 to 4,905-306-0575,905-306-9548, , , ,2480,Cawthra Rd,2480 Cawthra Rd, ,24,L5A 2X2,2017/05/17 00:00:00+00,396200,Dixie EA,7
1742,3836,"Garcia, F. Meat Products Ltd.",413160,Wholesale,Red Meat and Meat Product Wholesaler-Distributors,5 to 9,905-279-2107,905-279-2108, , , ,2480,Cawthra Rd,2480 Cawthra Rd, ,4,L5A 2X2,2017/05/17 00:00:00+00,396200,Dixie EA,7
1743,3833,The OwlAs Kimchi Korea,311990,Manufacturing,All Other Food Manufacturing,5 to 9,647-800-4969,905-897-6244, ,info@kimchikorea.ca,www.kimchikorea.ca,2480,Cawthra Rd,2480 Cawthra Rd, ,23,L5A 2X2,2017/11/09 00:00:00+00,396200,Dixie EA,7
1744,3842,Costa Produce Ltd.,311420,Manufacturing,"Fruit and Vegetable Canning, Pickling and Drying",10 to 19,9052727122,9052723759, ,costaproduce@yahoo.ca, ,2480,Cawthra Rd,2480 Cawthra Rd, ,8&9,L5A 2X2,2018/12/30 00:00:00+00,396200,Dixie EA,7
1745,3844,Rei do Churrasco,722512,Accommodation,Limited-service eating places,1 to 4,905-949-5141, , ,info@reidochurrasco.ca,www.reidochurrasco.ca,2480,Cawthra Rd,2480 Cawthra Rd, ,7,L5A 2X2,2017/11/09 00:00:00+00,396200,Dixie EA,7
1746,3845,True World Foods,413190,Wholesale,Other Specialty-Line Food Wholesaler-Distributors,10 to 19,905-279-5977,905-279-5574, ,trueworldfoodstoronto@hotmail.com,www.trueworldfoods.com,2480,Cawthra Rd,2480 Cawthra Rd, ,27&28,L5A 2X2,2017/11/09 00:00:00+00,396200,Dixie EA,7
1747,45903,International Sports Bar and Eatery,722511,Accommodation,Full-service restaurants,1 to 4,905-848-0555, , ,internationsportsbar2012@gmail.com,www.internationalsportsbar.com,2480,Cawthra Rd,2480 Cawthra Rd, ,1,L5A 2X2,2017/11/09 00:00:00+00,396200,Dixie EA,7
1748,46146,M & M Carpet Inc.,238330,Construction,Flooring Contractors,1 to 4,905-279-7875,905-279-7873, ,sales@mmcarpetinc.com,www.mmcarpetinc.com,2480,Cawthra Rd,2480 Cawthra Rd, ,26,L5A 2X2,2017/05/17 00:00:00+00,396200,Dixie EA,7
1749,48810,Mississauga Hydraulics,333619,Manufacturing,Other Engine and Power Transmission Equipment Manufacturing,1 to 4,905-277-5416, , , , ,2480,Cawthra Rd,2480 Cawthra Rd, ,32&33,L5A 2X2,2017/05/17 00:00:00+00,396200,Dixie EA,7
1750,53066,C I W D Corp. Windows and Door System,321911,Manufacturing,Wood Window and Door Manufacturing,5 to 9,905-281-8751,905-281-0528, ,info@ciwd.ca,www.ciwd.ca,2480,Cawthra Rd,2480 Cawthra Rd, ,21,L5A 2X2,2017/05/17 00:00:00+00,396200,Dixie EA,7
1751,84028,Tap Dance Centre,611610,Educational,Fine Arts Schools,1 to 4,905-278-3534, , ,kimike@sympatico.ca,www.tapdancecentre.com,2480,Cawthra Rd,2480 Cawthra Rd, ,15,L5A 2X2,2017/05/17 00:00:00+00,396200,Dixie EA,7
1752,86664,Kris Kraft Garage Doors Systems Ltd,238390,Construction,Other Building Finishing Contractors,1 to 4,9052766365,9052769240, ,kriskraftdoors@outlook.com,www.kriskraftdoors.com,2480,Cawthra Rd,2480 Cawthra Rd, ,31,L5A 2X2,2018/12/30 00:00:00+00,396200,Dixie EA,7
1753,87341,Bazaar,454390,Retail,Other direct selling establishments,1 to 4,905-232-1505, , , , ,2480,Cawthra Rd,2480 Cawthra Rd, ,2,L5A 2X2,2017/11/09 00:00:00+00,396200,Dixie EA,7
1754,3762,Seedo's Bakery,445291,Retail,Baked Goods Stores,1 to 4,289-724-2103, , ,info@speedo`sbakery.com,www.speedo`sbakery.com,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 2,7 & 8,L5A 3K6,2017/11/09 00:00:00+00,396300,Dixie EA,7
1755,3753,East India Company Ltd.,413190,Wholesale,Other Specialty-Line Food Wholesaler-Distributors,5 to 9,905-276-3212,905-276-9793, ,info@eastindia.ca,www.eastindia.ca,2446,Cawthra Rd,2446 Cawthra Rd,Bldg1,B1 - Unit 1 to 5,L5A 3K6,2017/05/17 00:00:00+00,396300,Dixie EA,7
1756,3756,Top Choice Kitchen & Bath Cabinets Inc.,337110,Manufacturing,Wood Kitchen Cabinet and Counter Top Manufacturing,1 to 4,9058962214,9058961735, ,info@topchoicekitchen.com,www.topchoice.ca,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 2,B2 - Unit,L5A 3K6,2018/12/30 00:00:00+00,396300,Dixie EA,7
1757,3766,ShirWill Upholstery & Draperies,811420,Other Services,Reupholstery and Furniture Repair,1 to 4,905-279-2100, , , , ,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 4,9,L5A 3K6,2017/05/17 00:00:00+00,396300,Dixie EA,7
1758,45954,C M Trading Inc.,541212,Professional,Offices of  Accountants,1 to 4,9052755678, , ,vinhau193@yahoo.com, ,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 2,B2 - Unit,L5A 3K6,2018/12/30 00:00:00+00,396300,Dixie EA,7
1759,48813,M C B Mechanical (2012) Ltd.,238220,Construction,"Plumbing, Heating and Air-Conditioning Contractors",5 to 9,905-272-3608,905-272-3944, ,gmosey@mcbmechanical.ca,www.mcbmechanical.ca,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 4,2,L5A 3K6,2017/05/17 00:00:00+00,396300,Dixie EA,7
1760,56487,Shooting Chrony Inc.,336320,Manufacturing,Motor Vehicle Electrical and Electronic Equipment Manufacturing,10 to 19,905-276-6292,905-276-6295,1-800-385-3161,chrony@shootingchrony.com,www.shootingchrony.com,2446,Cawthra Rd,2446 Cawthra Rd,Bldg1,B1 - Unit 8&9,L5A 3K6,2017/05/17 00:00:00+00,396300,Dixie EA,7
1761,56562,Superior Air Duct Cleaning Inc.,561791,Administrative,Duct and Chimney Cleaning Services,5 to 9,905-891-3828,905-279-3826,1-877-891-3828,luke@superioradc.com,www.superioradc.com,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 2,B2 - Unit 5,L5A 3K6,2017/05/17 00:00:00+00,396300,Dixie EA,7
1762,84027,Bailey's Refinishing,811420,Other Services,Reupholstery and Furniture Repair,1 to 4,9058421139, , ,baileysrefinishing@live.ca,www.baileysrefinishing.com,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 4,6,L5A 3K6,2018/12/30 00:00:00+00,396300,Dixie EA,7
1763,84025,Long Branch Rental,532490,Real Estate,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,1 to 4,905-272-3164, , ,longbranchrental@yahoo.com, ,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 2,B2 - Unit 10,L5A 3K6,2017/05/17 00:00:00+00,396300,Dixie EA,7
1764,84533,Lyna Cream Co.,414520,Wholesale,"Toiletries, Cosmetics and Sundries Wholesaler-Distributors",1 to 4,416-726-6362,905-281-1504, ,lynacreamco@gmail.com, ,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 4,4,L5A 3K6,2017/05/16 00:00:00+00,396300,Dixie EA,7
1765,85787,C F S Crossfit Select,713940,Arts,Fitness and Recreational Sports Centres,1 to 4,905-275-9535, , ,info@crossfitselect.com,www.crossfitselect.com,2446,Cawthra Rd,2446 Cawthra Rd,Bldg1,B1 - Unit 6&7,L5A 3K6,2017/05/16 00:00:00+00,396300,Dixie EA,7
1766,87357,Full Choice Kitchen Cabinets,337110,Manufacturing,Wood Kitchen Cabinet and Counter Top Manufacturing,1 to 4,905-896-2214, , , ,www.fullchoicekitchens.ca,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 1,10,L5A 3K6,2017/11/09 00:00:00+00,396300,Dixie EA,7
1767,88616,Superior Air Duct Cleaning,238220,Construction,"Plumbing, Heating and Air-Conditioning Contractors",5 to 9,9052793828,9052793826,8778913828,info@superioradc.com,www.superioradc.com,2446,Cawthra Rd,2446 Cawthra Rd,Bldg 2,5,L5A 3K6,2018/12/30 00:00:00+00,396300,Dixie EA,7
